from_group,from_arti,整体包名,to_group,to_arti,被依赖的整体包名
com.alipay.sofa.lookout,lookout-client-parent,com.alipay.sofa.lookout.lookout-client-parent,com.alipay.sofa.lookout,lookout-common,com.alipay.sofa.lookout.lookout-common
com.alipay.sofa.lookout,lookout-client-parent,com.alipay.sofa.lookout.lookout-client-parent,com.alipay.sofa.common,sofa-common-tools,com.alipay.sofa.common.sofa-common-tools
com.alipay.sofa.lookout,lookout-client-parent,com.alipay.sofa.lookout.lookout-client-parent,com.alipay.sofa.lookout,lookout-sofa-boot-starter,com.alipay.sofa.lookout.lookout-sofa-boot-starter
com.alipay.sofa.lookout,lookout-client-parent,com.alipay.sofa.lookout.lookout-client-parent,com.alipay.sofa.lookout,lookout-reg-dropwizard,com.alipay.sofa.lookout.lookout-reg-dropwizard
com.alipay.sofa.lookout,lookout-client-parent,com.alipay.sofa.lookout.lookout-client-parent,commons-io,commons-io,commons-io.commons-io
com.alipay.sofa.lookout,lookout-client-parent,com.alipay.sofa.lookout.lookout-client-parent,org.mockito,mockito-all,org.mockito.mockito-all
com.alipay.sofa.lookout,lookout-client-parent,com.alipay.sofa.lookout.lookout-client-parent,com.google.guava,guava,com.google.guava.guava
com.alipay.sofa.lookout,lookout-client-parent,com.alipay.sofa.lookout.lookout-client-parent,com.alipay.sofa.lookout,lookout-reg-prometheus,com.alipay.sofa.lookout.lookout-reg-prometheus
com.alipay.sofa.lookout,lookout-client-parent,com.alipay.sofa.lookout.lookout-client-parent,org.apache.logging.log4j,log4j-slf4j-impl,org.apache.logging.log4j.log4j-slf4j-impl
com.alipay.sofa.lookout,lookout-client-parent,com.alipay.sofa.lookout.lookout-client-parent,io.dropwizard.metrics,metrics-core,io.dropwizard.metrics.metrics-core
com.alipay.sofa.lookout,lookout-client-parent,com.alipay.sofa.lookout.lookout-client-parent,org.slf4j,slf4j-api,org.slf4j.slf4j-api
com.alipay.sofa.lookout,lookout-client-parent,com.alipay.sofa.lookout.lookout-client-parent,com.alipay.sofa.lookout,lookout-api,com.alipay.sofa.lookout.lookout-api
com.alipay.sofa.lookout,lookout-client-parent,com.alipay.sofa.lookout.lookout-client-parent,org.apache.logging.log4j,log4j-core,org.apache.logging.log4j.log4j-core
com.alipay.sofa.lookout,lookout-client-parent,com.alipay.sofa.lookout.lookout-client-parent,org.xerial.snappy,snappy-java,org.xerial.snappy.snappy-java
com.alipay.sofa.lookout,lookout-client-parent,com.alipay.sofa.lookout.lookout-client-parent,junit,junit,junit.junit
com.alipay.sofa.lookout,lookout-client-parent,com.alipay.sofa.lookout.lookout-client-parent,com.alipay.sofa.lookout,lookout-reg-server,com.alipay.sofa.lookout.lookout-reg-server
com.alipay.sofa.lookout,lookout-client-parent,com.alipay.sofa.lookout.lookout-client-parent,io.netty,netty-all,io.netty.netty-all
com.alipay.sofa.lookout,lookout-client-parent,com.alipay.sofa.lookout.lookout-client-parent,org.apache.commons,commons-configuration2,org.apache.commons.commons-configuration2
com.alipay.sofa.lookout,lookout-client-parent,com.alipay.sofa.lookout.lookout-client-parent,org.slf4j,slf4j-log4j12,org.slf4j.slf4j-log4j12
com.alipay.sofa.lookout,lookout-client-parent,com.alipay.sofa.lookout.lookout-client-parent,com.alipay.sofa.lookout,lookout-core,com.alipay.sofa.lookout.lookout-core
org.apache.tomcat.maven,tomcat-maven-plugin,org.apache.tomcat.maven.tomcat-maven-plugin,org.apache.tomcat.maven,common-tomcat-maven-plugin,org.apache.tomcat.maven.common-tomcat-maven-plugin
